,row_id,icd9_code,short_title,long_title
11699,11700,E9285,Ext constriction-obj NEC,External constriction caused by other object
11700,11701,E9286,Envir expose algae/toxin,Environmental exposure to harmful algae and toxins
11701,11702,E9287,Accidnt-mech firearm/gun,"Environmental and accidental causes, mechanism or component of firearm and air gun"
11702,11703,E9288,Accident NEC,Other accidents
11703,11704,E9289,Accident NOS,Unspecified accident
11704,11705,E9290,Late eff motor vehic acc,Late effects of motor vehicle accident
11705,11706,E9291,Late eff transport acc,Late effects of other transport accident
11706,11707,E9579,Injury-jump NEC,Suicide and self-inflicted injuries by jumping from unspecified site
11707,11708,E9580,Injury-moving object,Suicide and self-inflicted injury by jumping or lying before moving object
11708,11709,E9581,"Injury-burn, fire","Suicide and self-inflicted injury by burns, fire"
11709,11710,E9582,Injury-scald,Suicide and self-inflicted injury by scald
11710,11711,E9583,Injury-extreme cold,Suicide and self-inflicted injury by extremes of cold
11711,11712,E9584,Injury-electrocution,Suicide and self-inflicted injury by electrocution
11712,11713,E9585,Injury-motor veh crash,Suicide and self-inflicted injury by crashing of motor vehicle
11713,11714,E9586,Injury-aircraft crash,Suicide and self-inflicted injury by crashing of aircraft
11714,11715,E9587,Injury-caustic substance,"Suicide and self-inflicted injury by caustic substances, except poisoning"
11715,11716,E9588,Injury-NEC,Suicide and self-inflicted injury by other specified means
11716,11717,E9589,Injury-NOS,Suicide and self-inflicted injury by unspecified means
11717,11718,E959,Late eff of self-injury,Late effects of self-inflicted injury
11718,11719,E9600,Unarmed fight or brawl,Unarmed fight or brawl
11719,11720,E9601,Rape,Rape
11720,11721,E961,Assault-corrosiv/caust,"Assault by corrosive or caustic substance, except poisoning"
11721,11722,E9620,Assault-pois w medic agt,Assault by drugs and medicinal substances
11722,11723,E9621,Assault-pois w solid/liq,Assault by other solid and liquid substances
11723,11724,E9622,Assault-pois w gas/vapor,Assault by other gases and vapors
11724,11725,E9629,Assault-poisoning NOS,Assault by unspecified poisoning
11725,11726,E963,Assault-hanging/strangul,Assault by hanging and strangulation
11726,11727,E964,Assault-submersion,Assault by submersion [drowning]
11727,11728,E9650,Assault-handgun,Assault by handgun
11728,11729,E9651,Assault-shotgun,Assault by shotgun
11729,11730,E9652,Assault-hunting rifle,Assault by hunting rifle
11730,11731,E9653,Assault-military weapon,Assault by military firearms
11731,11732,E9654,Assault-firearm NEC,Assault by other and unspecified firearm
11732,11733,E9655,Assault-antiperson bomb,Assault by antipersonnel bomb
11733,11734,E9656,Assault-gasoline bomb,Assault by gasoline bomb
11734,11735,E9657,Assault-letter bomb,Assault by letter bomb
11735,11736,E9658,Assault-explosive NEC,Assault by other specified explosive
11736,11737,E9659,Assault-explosive NOS,Assault by unspecified explosive
11737,11738,E966,Assault-cutting instr,Assault by cutting and piercing instrument
11738,11739,E9670,Abuse by fther/stpfth/bf,"Perpetrator of child and adult abuse, by father, stepfather, or boyfriend"
11739,11740,E9671,Child abuse by pers NEC,"Perpetrator of child and adult abuse, by other specified person"
11740,11741,E9672,Abuse by mther/stpmth/gf,"Perpetrator of child and adult abuse, by mother, stepmother, or girlfriend"
11741,11742,E9673,Batter by spouse/partner,"Perpetrator of child and adult abuse, by spouse or partner"
11742,11743,E9674,Battering by child,"Perpetrator of child and adult abuse, by child"
11743,11744,E9675,Battering by sibling,"Perpetrator of child and adult abuse, by sibling"
11744,11745,E9676,Battering by grandparent,"Perpetrator of child and adult abuse, by grandparent"
11745,11746,E9677,Batter by other relative,"Perpetrator of child and adult abuse, by other relative"
11746,11747,E9678,Batter by non-relative,"Perpetrator of child and adult abuse, by non-related caregiver"
11747,11748,E9679,Child abuse NOS,"Perpetrator of child and adult abuse, by unspecified person"
11748,11749,E9680,Assault-fire,Assault by fire
11749,11750,E9681,Asslt-push from hi place,Assault by pushing from a high place
11750,11751,E9682,Assault-striking w obj,Assault by striking by blunt or thrown object
11751,11752,E9683,Assault-hot liquid,Assault by hot liquid
11752,11753,E9684,Assault-criminal neglect,Assault by criminal neglect
11753,11754,E9685,Asslt-transport vehicle,Assault by transport vehicle
11754,11755,E9686,Assault - air gun,Assault by air gun
11755,11756,E9687,Human bite - assault,Assault by human bite
11756,11757,E9688,Assault NEC,Assault by other specified means
11757,11758,E9689,Assault NOS,Assault by unspecified means
11758,11759,E969,Late effect assault,Late effects of injury purposely inflicted by other person
11759,11760,E970,Legal intervent-firearm,Injury due to legal intervention by firearms
11760,11761,E971,Legal intervent-explosiv,Injury due to legal intervention by explosives
11761,11762,86819,Intra-abdom inj NEC-open,"Injury to other and multiple intra-abdominal organs, with open wound into cavity"
11762,11763,8690,Internal inj NOS-closed,Internal injury to unspecified or ill-defined organs without mention of open wound into cavity
11763,11764,8691,Internal injury NOS-open,Internal injury to unspecified or ill-defined organs with open wound into cavity
11764,11765,8700,Lac eyelid skn/perioculr,Laceration of skin of eyelid and periocular area
11765,11766,8701,Full-thicknes lac eyelid,"Laceration of eyelid, full-thickness, not involving lacrimal passages"
11766,11767,8702,Lac eyelid inv lacrm pas,Laceration of eyelid involving lacrimal passages
11767,11768,8703,Penetr wnd orbit w/o FB,"Penetrating wound of orbit, without mention of foreign body"
11768,11769,8704,Penetrat wnd orbit w FB,Penetrating wound of orbit with foreign body
11769,11770,8708,Opn wnd ocular adnex NEC,Other specified open wounds of ocular adnexa
11770,11771,8709,Opn wnd ocular adnex NOS,Unspecified open wound of ocular adnexa
11771,11772,8710,Ocular lac w/o prolapse,Ocular laceration without prolapse of intraocular tissue
11772,11773,8711,Ocular lacera w prolapse,Ocular laceration with prolapse or exposure of intraocular tissue
11773,11774,8712,Rupture eye w tissu loss,Rupture of eye with partial loss of intraocular tissue
11774,11775,8713,Avulsion of eye,Avulsion of eye
11775,11776,8714,Laceration of eye NOS,Unspecified laceration of eye
11776,11777,8715,Penetrat magnet FB eye,Penetration of eyeball with magnetic foreign body
11777,11778,8716,Penetrat FB NEC eye,Penetration of eyeball with (nonmagnetic) foreign body
11778,11779,8717,Ocular penetration NOS,Unspecified ocular penetration
11779,11780,8719,Opn wound of eyeball NOS,Unspecified open wound of eyeball
11780,11781,87200,Opn wound extern ear NOS,"Open wound of external ear, unspecified site, without mention of complication"
11781,11782,87201,Open wound of auricle,"Open wound of auricle, ear, without mention of complication"
11782,11783,87202,Opn wound auditory canal,"Open wound of auditory canal, without mention of complication"
11783,11784,87210,Opn wnd ex ear NOS-compl,"Open wound of external ear, unspecified site, complicated"
11784,11785,87211,Open wound auricle-compl,"Open wound of auricle, ear, complicated"
11785,11786,87212,Open wnd aud canal-compl,"Open wound of auditory canal, complicated"
11786,11787,87261,Open wound of ear drum,"Open wound of ear drum, without mention of complication"
11787,11788,87262,Open wound of ossicles,"Open wound of ossicles, without mention of complication"
11788,11789,87263,Open wnd eustachian tube,"Open wound of eustachian tube, without mention of complication"
11789,11790,87264,Open wound of cochlea,"Open wound of cochlea, without mention of complication"
11790,11791,87269,Open wound of ear NEC,"Open wound of other and multiple sites of ear, without mention of complication"
11791,11792,67680,Lactation dis NEC-unspec,"Other disorders of lactation, unspecified as to episode of care or not applicable"
11792,11793,67681,Lactation dis NEC-deliv,"Other disorders of lactation, delivered, with or without mention of antepartum condition"
11793,11794,7396,Somat dysfunc lower extr,"Nonallopathic lesions, lower extremities"
11794,11795,7397,Somat dysfunc upper extr,"Nonallopathic lesions, upper extremities"
11795,11796,7398,Somat dysfunc rib cage,"Nonallopathic lesions, rib cage"
11796,11797,7399,Somatic dysfunction NEC,"Nonallopathic lesions, abdomen and other sites"
11797,11798,7400,Anencephalus,Anencephalus
11798,11799,7401,Craniorachischisis,Craniorachischisis
11799,11800,7402,Iniencephaly,Iniencephaly
11800,11801,74100,Spin bif w hydroceph NOS,"Spina bifida with hydrocephalus, unspecified region"
11801,11802,74101,Spin bif w hydrceph-cerv,"Spina bifida with hydrocephalus, cervical region"
11802,11803,74102,Spin bif w hydrceph-dors,"Spina bifida with hydrocephalus, dorsal (thoracic) region"
11803,11804,74103,Spin bif w hydrceph-lumb,"Spina bifida with hydrocephalus, lumbar region"
11804,11805,74190,Spina bifida,"Spina bifida without mention of hydrocephalus, unspecified region"
11805,11806,74191,Spina bifida-cerv,"Spina bifida without mention of hydrocephalus, cervical region"
11806,11807,74192,Spina bifida-dorsal,"Spina bifida without mention of hydrocephalus, dorsal (thoracic) region"
11807,11808,74193,Spina bifida-lumbar,"Spina bifida without mention of hydrocephalus, lumbar region"
11808,11809,7420,Encephalocele,Encephalocele
11809,11810,7421,Microcephalus,Microcephalus
11810,11811,7422,"Reduction deform, brain",Congenital reduction deformities of brain
11811,11812,7423,Congenital hydrocephalus,Congenital hydrocephalus
11812,11813,7424,Brain anomaly NEC,Other specified congenital anomalies of brain
11813,11814,74251,Diastematomyelia,Diastematomyelia
11814,11815,74253,Hydromyelia,Hydromyelia
11815,11816,74259,Spinal cord anomaly NEC,Other specified congenital anomalies of spinal cord
11816,11817,7428,Nervous system anom NEC,Other specified congenital anomalies of nervous system
11817,11818,7429,Nervous system anom NOS,"Unspecified congenital anomaly of brain, spinal cord, and nervous system"
11818,11819,74300,Clinic anophthalmos NOS,"Clinical anophthalmos, unspecified"
11819,11820,74303,Congen cystic eyeball,"Cystic eyeball, congenital"
11820,11821,74306,Cryptophthalmos,Cryptophthalmos
11821,11822,74310,Microphthalmos NOS,"Microphthalmos, unspecified"
11822,11823,74311,Simple microphthalmos,Simple microphthalmos
11823,11824,74312,Microphth w oth eye anom,Microphthalmos associated with other anomalies of eye and adnexa
11824,11825,74320,Buphthalmos NOS,"Buphthalmos, unspecified"
11825,11826,74321,Simple buphthalmos,Simple buphthalmos
11826,11827,74322,Buphthal w oth eye anom,Buphthalmos associated with other ocular anomalies
11827,11828,74330,Congenital cataract NOS,"Congenital cataract, unspecified"
11828,11829,74331,Capsular cataract,Congenital capsular and subcapsular cataract
11829,11830,74332,Cortical/zonular catarac,Congenital cortical and zonular cataract
11830,11831,74333,Nuclear cataract,Congenital nuclear cataract
11831,11832,74334,Cong tot/subtot cataract,"Total and subtotal cataract, congenital"
11832,11833,74335,Congenital aphakia,Congenital aphakia
11833,11834,74336,Anomalies of lens shape,Congenital anomalies of lens shape
11834,11835,74337,Congenital ectopic lens,Congenital ectopic lens
11835,11836,74339,Cong catar/lens anom NEC,Other congenital cataract and lens anomalies
11836,11837,74341,Anom corneal size/shape,Congenital anomalies of corneal size and shape
11837,11838,74342,Cong cornea opac aff vis,"Corneal opacities, interfering with vision, congenital"
11838,11839,74343,Cong corneal opacit NEC,"Other corneal opacities, congenital"
11839,11840,74344,Anom anter chamber-eye,"Specified congenital anomalies of anterior chamber, chamber angle, and related structures"
11840,11841,74345,Aniridia,Aniridia
11841,11842,74346,Anom iris & cil body NEC,Other specified congenital anomalies of iris and ciliary body
11842,11843,74347,Anomalies of sclera,Specified congenital anomalies of sclera
11843,11844,74348,Mult anom anter seg-eye,Multiple and combined congenital anomalies of anterior segment
11844,11845,74349,Anom anter seg NEC-eye,Other congenital anomalies of anterior segment
11845,11846,74351,Vitreous anomalies,Vitreous anomalies
11846,11847,74352,Fundus coloboma,Fundus coloboma
11847,11848,74353,Cong chorioretinal degen,"Chorioretinal degeneration, congenital"
11848,11849,74354,Cong fold/cyst post eye,Congenital folds and cysts of posterior segment
11849,11850,74355,Cong macular change-eye,Congenital macular changes
11850,11851,74356,Cong retinal changes NEC,"Other retinal changes, congenital"
11851,11852,74357,Optic disc anomalies,Specified congenital anomalies of optic disc
11852,11853,74358,Vascular anom post eye,Vascular anomalies
11853,11854,74359,Post segmnt anom NEC-eye,Other congenital anomalies of posterior segment
11854,11855,74361,Congenital ptosis,Congenital ptosis
11855,11856,74362,Congenital eyelid deform,Congenital deformities of eyelids
11856,11857,74363,Spec anom of eyelid NEC,Other specified congenital anomalies of eyelid
11857,11858,74364,Spec lacrimal gland anom,Specified congenital anomalies of lacrimal gland
11858,11859,74365,Spec lacrimal pass anom,Specified congenital anomalies of lacrimal passages
11859,11860,74366,Spec anomaly of orbit,Specified congenital anomalies of orbit
11860,11861,74369,Anom eyelid/lacr/orb NEC,"Other congenital anomalies of eyelids, lacrimal system, and orbit"
11861,11862,7438,Eye anomalies NEC,Other specified anomalies of eye
11862,11863,7439,Eye anomaly NOS,Unspecified anomaly of eye
11863,11864,74400,Ear anom NOS/impair hear,Unspecified anomaly of ear with impairment of hearing
11864,11865,74401,Cong absence ext ear,Absence of external ear
11865,11866,74402,Ex ear anm NEC-impr hear,Other anomalies of external ear with impairment of hearing
11866,11867,74403,Middle ear anomaly NEC,"Anomaly of middle ear, except ossicles"
11867,11868,74404,Anomalies ear ossicles,Anomalies of ear ossicles
11868,11869,74405,Anomalies of inner ear,Anomalies of inner ear
11869,11870,74409,Ear anom NEC/impair hear,Other anomalies of ear causing impairment of hearing
11870,11871,7441,Accessory auricle,Accessory auricle
11871,11872,74421,Cong absence of ear lobe,"Absence of ear lobe, congenital"
11872,11873,74422,Macrotia,Macrotia
11873,11874,74423,Microtia,Microtia
11874,11875,74424,Eustachian tube anom NEC,Specified anomalies of Eustachian tube
11875,11876,74429,Ear anomalies NEC,Other specified anomalies of ear
11876,11877,E9988,War inj:after cease NEC,Injury due to other war operations but occurring after cessation of hostilities
11877,11878,E9989,War inj:after cease NOS,Injury due to unspecified war operations but occurring after cessation of hostilities
11878,11879,E9990,"Late effect, war injury",Late effect of injury due to war operations
11879,11880,E9991,"Late effect, terrorism",Late effect of injury due to terrorism
11880,11881,V010,Cholera contact,Contact with or exposure to cholera
11881,11882,V011,Tuberculosis contact,Contact with or exposure to tuberculosis
11882,11883,V012,Poliomyelitis contact,Contact with or exposure to poliomyelitis
11883,11884,V013,Smallpox contact,Contact with or exposure to smallpox
11884,11885,V014,Rubella contact,Contact with or exposure to rubella
11885,11886,E8609,Acc poison-alcohol NOS,Accidental poisoning by unspecified alcohol
11886,11887,E8610,Acc pois-synth detergent,Accidental poisoning by synthetic detergents and shampoos
11887,11888,E8611,Acc poison-soap products,Accidental poisoning by soap products
11888,11889,E8612,Acc poison-polishes,Accidental poisoning by polishes
11889,11890,E8613,Acc poison-cleanser NEC,Accidental poisoning by other cleansing and polishing agents
11890,11891,E8614,Acc poison-disinfectants,Accidental poisoning by disinfectants
11891,11892,E8615,Acc poison-lead paints,Accidental poisoning by lead paints
11892,11893,E8616,Acc poison-paints NEC,Accidental poisoning by other paints and varnishes
11893,11894,E8619,Acc poison-cleanser NOS,"Accidental poisoning by unspecified cleansing and polishing agents, disinfectants, paints, and varnishes"
11894,11895,E8620,Acc poisn-petrol solvent,Accidental poisoning by petroleum solvents
11895,11896,E8621,Acc poisn-petroleum fuel,Accidental poisoning by petroleum fuels and cleaners
11896,11897,E8622,Acc pois-lubricating oil,Accidental poisoning by lubricating oils
11897,11898,E8623,Acc pois-petroleum solid,Accidental poisoning by petroleum solids
11898,11899,E8624,Acc poisn-solvents NEC,"Accidental poisoning by other specified solvents, not elsewhere classified"
11899,11900,E8629,Acc poisn-solvent NOS,"Accidental poisoning by unspecified solvent, not elsewhere classified"
11900,11901,V3501,Oth mult sb-in hosp w cs,"Other multiple birth (three or more), mates all still born, born in hospital, delivered by cesarean section"
11901,11902,V351,Oth mult sb-before adm,"Other multiple birth (three or more), mates all stillborn, born before admission to hospital"
11902,11903,V352,Oth multiple sb-nonhosp,"Other multiple birth (three or more), mates all stillborn, born outside of hospital and not hospitalized"
11903,11904,V3600,Mult lb/sb-in hos w/o cs,"Other multiple birth (three or more), mates liveborn and stillborn, born in hospital, delivered without mention of cesarean section"
11904,11905,V3601,Mult lb/sb-in hosp w cs,"Other multiple birth (three or more), mates liveborn and stillborn, born in hospital, delivered without mention of cesarean section"
11905,11906,V361,Mult nb/sb-before adm,"Other multiple birth (three or more), mates liveborn and stillborn, born before admission to hospital"
11906,11907,V362,Multiple nb/sb-nonhosp,"Other multiple birth (three or more), mates liveborn and stillborn, born outside hospital and not hospitalized"
11907,11908,V3700,Mult brth NOS-hos w/o cs,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered without mention of cesarean section"
11908,11909,V3701,Mult birth NOS-hosp w cs,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born in hospital, delivered by cesarean section"
11909,11910,V371,Mult brth NOS-before adm,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born before admission to hospital"
11910,11911,V372,Mult birth NOS-nonhosp,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born outside of hospital"
11911,11912,V3900,Liveborn NOS-hosp w/o cs,"Liveborn, unspecified whether single, twin or multiple, born in hospital, delivered without mention of cesarean section"
11912,11913,V3901,Liveborn NOS-hosp w cs,"Liveborn, unspecified whether single, twin or multiple, born in hospital, delivered by cesarean section"
11913,11914,V391,Liveborn NOS-before adm,"Liveborn, unspecified whether single, twin or multiple, born before admission to hospital"
11914,11915,V392,Liveborn NOS-nonhosp,"Liveborn, unspecified whether single, twin or multiple, born outside hospital and not hospitalized"
11915,11916,V400,Problems with learning,Mental and behavioral problems with learning
11916,11917,V401,Prob with communication,Mental and behavioral problems with communication [including speech]
11917,11918,V402,Mental problems NEC,Other mental problems
11918,11919,V4031,Wandering-dis elsewhere,Wandering in diseases classified elsewhere
11919,11920,V4039,Oth spc behavior problem,Other specified behavioral problem
11920,11921,V409,Mental/behavior prob NOS,Unspecified mental or behavioral problem
11921,11922,V410,Problems with sight,Problems with sight
11922,11923,V411,Eye problems NEC,Other eye problems
11923,11924,V412,Problems with hearing,Problems with hearing
11924,11925,V413,Ear problems NEC,Other ear problems
11925,11926,V414,Voice production problem,Problems with voice production
11926,11927,V415,Smell and taste problem,Problems with smell and taste
11927,11928,V416,Problem w swallowing,Problems with swallowing and mastication
11928,11929,V417,Sexual function problem,Problems with sexual function
11929,11930,V418,Probl w special func NEC,Other problems with special functions
11930,11931,V419,Probl w special func NOS,Unspecified problem with special functions
11931,11932,V420,Kidney transplant status,Kidney replaced by transplant
11932,11933,V421,Heart transplant status,Heart replaced by transplant
11933,11934,V422,Heart valve transplant,Heart valve replaced by transplant
11934,11935,V423,Skin transplant status,Skin replaced by transplant
11935,11936,V424,Bone transplant status,Bone replaced by transplant
11936,11937,V425,Cornea transplant status,Cornea replaced by transplant
11937,11938,V426,Lung transplant status,Lung replaced by transplant
11938,11939,V427,Liver transplant status,Liver replaced by transplant
11939,11940,V4281,Trnspl status-bne marrow,Bone marrow replaced by transplant
11940,11941,V4282,Trspl sts-perip stm cell,Peripheral stem cells replaced by transplant
11941,11942,V4283,Trnspl status-pancreas,Pancreas replaced by transplant
11942,11943,V4284,Trnspl status-intestines,"Organ or tissue replaced by transplant, intestines"
11943,11944,V4289,Trnspl status organ NEC,Other specified organ or tissue replaced by transplant
11944,11945,V429,Transplant status NOS,Unspecified organ or tissue replaced by transplant
11945,11946,V430,Eye replacement NEC,Eye globe replaced by other means
11946,11947,V431,Lens replacement NEC,Lens replaced by other means
11947,11948,V4321,Heart assist dev replace,"Organ or tissue replaced by other means, heart assist device"
11948,11949,V4322,Artficial heart replace,"Organ or tissue replaced by other means, fully implantable artificial heart"
11949,11950,V433,Heart valve replac NEC,Heart valve replaced by other means
11950,11951,V434,Blood vessel replac NEC,Blood vessel replaced by other means
11951,11952,V435,Bladder replacement NEC,Bladder replaced by other means
11952,11953,V4360,Joint replaced unspcf,Unspecified joint replacement
11953,11954,V4361,Joint replaced shoulder,Shoulder joint replacement
11954,11955,V4362,Joint replaced elbow,Elbow joint replacement
11955,11956,V4363,Joint replaced wrist,Wrist joint replacement
11956,11957,V4364,Joint replaced hip,Hip joint replacement
11957,11958,V4365,Joint replaced knee,Knee joint replacement
11958,11959,V4366,Joint replaced ankle,Ankle joint replacement
11959,11960,V4369,Oth spcf joint replaced,Other joint replacement
11960,11961,V437,Limb replacement NEC,Limb replaced by other means
11961,11962,V4381,Larynx replacement,Larynx replacement
11962,11963,V4382,Breast replacement,Breast replacement
11963,11964,V4383,Artific skin repl status,Artificial skin replacement
11964,11965,E9292,Late eff acc poisoning,Late effects of accidental poisoning
11965,11966,E9293,Late eff accidental fall,Late effects of accidental fall
11966,11967,E9294,Late eff fire acc,Late effects of accident caused by fire
11967,11968,E9295,Late eff environment acc,Late effects of accident due to natural and environmental factors
11968,11969,E9298,Late eff accident NEC,Late effects of other accidents
11969,11970,E9299,Late eff accident NOS,Late effects of unspecified accident
11970,11971,E9300,Adv eff penicillins,Penicillins causing adverse effects in therapeutic use
11971,11972,E9301,Adv eff antifung antbiot,Antifungal antibiotics causing adverse effects in therapeutic use
11972,11973,E9302,Adv eff chloramphenicol,Chloramphenicol group causing adverse effects in therapeutic use
11973,11974,E9303,Adv eff erythromycin,Erythromycin and other macrolides causing adverse effects in therapeutic use
11974,11975,V500,Hair transplant,Elective hair transplant for purposes other than remedying health states
11975,11976,V501,Plastic surgery NEC,Other plastic surgery for unacceptable cosmetic appearance
11976,11977,V502,Routine circumcision,Routine or ritual circumcision
11977,11978,V503,Ear piercing,Ear piercing
11978,11979,V5041,Prphylct orgn rmvl brst,Prophylactic breast removal
11979,11980,V5042,Prphylct orgn rmvl ovary,Prophylactic ovary removal
11980,11981,V5049,Prphylct orgn rmvl other,Other prophylactic gland removal
11981,11982,V508,Elective surgery NEC,Other elective surgery for purposes other than remedying health states
11982,11983,V509,Elective surgery NOS,Unspecified elective surgery for purposes other than remedying health states
11983,11984,V510,Brst reconst fol mastect,Encounter for breast reconstruction following mastectomy
11984,11985,V518,Aftercre plastc surg NEC,Other aftercare involving the use of plastic surgery
11985,11986,V520,Fitting artificial arm,Fitting and adjustment of artificial arm (complete) (partial)
11986,11987,V521,Fitting artificial leg,Fitting and adjustment of artificial leg (complete) (partial)
11987,11988,V522,Fitting artificial eye,Fitting and adjustment of artificial eye
11988,11989,V523,Fitting dental prosthes,Fitting and adjustment of dental prosthetic device
11989,11990,V524,Fit/adj breast pros/impl,Fitting and adjustment of breast prosthesis and implant
11990,11991,V528,Fitting prosthesis NEC,Fitting and adjustment of other specified prosthetic device
11991,11992,V529,Fitting prosthesis NOS,Fitting and adjustment of unspecified prosthetic device
11992,11993,V5301,Adj cerebral vent shunt,Fitting and adjustment of cerebral ventricular (communicating) shunt
11993,11994,V5302,Adjust neuropacemaker,Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord)
11994,11995,V5309,Adj nerv syst device NEC,Fitting and adjustment of other devices related to nervous system and special senses
11995,11996,V531,Fit contact lens/glasses,Fitting and adjustment of spectacles and contact lenses
11996,11997,V532,Adjustment hearing aid,Fitting and adjustment of hearing aid
11997,11998,V5331,Ftng cardiac pacemaker,Fitting and adjustment of cardiac pacemaker
11998,11999,V5332,Ftng autmtc dfibrillator,Fitting and adjustment of automatic implantable cardiac defibrillator
11999,12000,V5339,Ftng oth cardiac device,Fitting and adjustment of other cardiac device
12000,12001,V534,Fit orthodontic device,Fitting and adjustment of orthodontic devices
12001,12002,V5350,Fit/adjust intestinl dev,Fitting and adjustment of intestinal appliance and device
12002,12003,V5351,Fit/adj gastric lap band,Fitting and adjustment of gastric lap band
12003,12004,V5359,Fit/adjust gi app-device,Fitting and adjustment of other gastrointestinal appliance and device
12004,12005,V536,Fitting urinary devices,Fitting and adjustment of urinary devices
12005,12006,V537,Fit orthopedic devices,Fitting and adjustment of orthopedic devices
12006,12007,V538,Adjustment of wheelchair,Fitting and adjustment of wheelchair
12007,12008,V5390,Fit/adjust device NOS,"Fitting and adjustment, unspecified device"
12008,12009,V5391,Fit/adjust insulin pump,Fitting and adjustment of insulin pump
12009,12010,V5399,Fit/adjust device NEC,"Fitting and adjustment, other device"
12010,12011,V5401,Removal int fixation dev,Encounter for removal of internal fixation device
12011,12012,V5402,Length/adjust growth rod,Encounter for lengthening/adjustment of growth rod
12012,12013,V5409,Aftrcre int fixation dev,Other aftercare involving internal fixation device
12013,12014,V5410,Aftrcre traum fx arm NOS,"Aftercare for healing traumatic fracture of arm, unspecified"
12014,12015,V5411,Aftrcare traum fx up arm,Aftercare for healing traumatic fracture of upper arm
12015,12016,V5412,Aftrcre traum fx low arm,Aftercare for healing traumatic fracture of lower arm
12016,12017,V5413,Aftrcre traumatic fx hip,Aftercare for healing traumatic fracture of hip
12017,12018,V5414,Aftrcre traum fx leg NOS,"Aftercare for healing traumatic fracture of leg, unspecified"
12018,12019,V5415,Aftrcare traum fx up leg,Aftercare for healing traumatic fracture of upper leg
12019,12020,V5416,Aftrcre traum fx low leg,Aftercare for healing traumatic fracture of lower leg
