,row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid
10100,13288,224749,Nitric Oxide,Nitric Oxide,metavision,chartevents,Respiratory,ppm,Numeric,
10101,13289,224750,Nitric Oxide Tank Pressure,Nitric Oxide Tank Pressure,metavision,chartevents,Respiratory,psi,Numeric,
10102,13290,224751,Temporary Pacemaker Rate,Temp Pacemaker Rate,metavision,chartevents,Cardiovascular (Pacer Data),bpm,Numeric,
10103,13291,224752,Temporary Atrial Sens Threshold mV,Temp Atrial Sens Threshold mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
10104,13292,224753,Temporary Atrial Sens Setting mV,Temp Atrial Sens Setting mV,metavision,chartevents,Cardiovascular (Pacer Data),mV,Numeric,
10105,13293,224754,Temporary Atrial Stim Threshold mA,Temp Atrial Stim Threshold mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
10106,13294,224755,Temporary Atrial Stim Setting mA,Temp Atrial Stim Setting mA,metavision,chartevents,Cardiovascular (Pacer Data),mA,Numeric,
10107,13295,224756,Response,Response,metavision,chartevents,Neurological,,Text,
10108,13296,224758,RUE Sensation,RUE Sensation,metavision,chartevents,Neurological,,Text,
10109,13297,224759,LUE Sensation,LUE Sensation,metavision,chartevents,Neurological,,Text,
10110,13298,224762,LLE Sensation,LLE Sensation,metavision,chartevents,Neurological,,Text,
10111,13299,224764,Neuro Drain Location,Neuro Drain Location,metavision,chartevents,Neurological,,Text,
10112,13300,224765,Neuro Drain Head of Bed,Neuro Drain HOB,metavision,chartevents,Neurological,,Text,
10113,13301,224767,RUE Temp,RUE Temp,metavision,chartevents,Cardiovascular,,Text,
10114,13302,224769,LUE Temp,LUE Temp,metavision,chartevents,Cardiovascular,,Text,
10115,13303,224771,RLE Temp,RLE Temp,metavision,chartevents,Cardiovascular,,Text,
10116,13304,224773,LLE Temp,LLE Temp,metavision,chartevents,Cardiovascular,,Text,
10117,13305,224775,CT #1 Leak,CT #1 Leak,metavision,chartevents,Pulmonary,,Text,
10118,13306,224777,CT #2 Leak,CT #2 Leak,metavision,chartevents,Pulmonary,,Text,
10119,13307,224779,CT #3 Leak,CT #3 Leak,metavision,chartevents,Pulmonary,,Text,
10120,13308,224781,CT #4 Leak,CT #4 Leak,metavision,chartevents,Pulmonary,,Text,
10121,13309,224785,GI #1 Tube Type,GI #1 Tube Type,metavision,chartevents,GI/GU,,Text,
10122,13310,224786,GI #1 Tube Status,GI #1 Tube Status,metavision,chartevents,GI/GU,,Text,
10123,13311,224788,GI #2 Tube Type,GI #2 Tube Type,metavision,chartevents,GI/GU,,Text,
10124,13312,224789,GI #2 Tube Status,GI #2 Tube Status,metavision,chartevents,GI/GU,,Text,
10125,13313,224791,GI #3 Tube Type,GI #3 Tube Type,metavision,chartevents,GI/GU,,Text,
10126,13314,224792,GI #3 Tube Status,GI #3 Tube Status,metavision,chartevents,GI/GU,,Text,
10127,13315,224794,Stool Color,Stool Color,metavision,chartevents,GI/GU,,Text,
10128,13316,224372,Sputum Source,Sputum Source,metavision,chartevents,Respiratory,,Text,
10129,13317,224373,Sputum Amount,Sputum Amount,metavision,chartevents,Respiratory,,Text,
10130,13318,224375,Cont Neb - Med,Cont Neb - Med,metavision,chartevents,Respiratory,,Text,
10131,13319,224379,PCA cleared,PCA cleared,metavision,chartevents,Pain/Sedation,,Text,
10132,13320,224380,Neuro Waveform Appearance,Neuro Waveform Appearance,metavision,chartevents,Neurological,,Text,
10133,13321,224385,Intubation,Intubation,metavision,procedureevents_mv,1-Intubation/Extubation,None,Process,
10134,13322,224389,Heart Sounds,Heart Sounds,metavision,chartevents,Cardiovascular,,Text,
10135,13323,224390,Temporary Atrial Sens,Temp Atrial Sens,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
10136,13324,224391,ETT Mark (location),ETT Mark (location),metavision,chartevents,Respiratory,,Text,
10137,13325,224392,ETT Position Change,ETT Position Change,metavision,chartevents,Respiratory,,Text,
10138,13326,224404,ART Lumen Volume,ART Lumen Volume,metavision,chartevents,Dialysis,mL,Numeric,
10139,13327,224406,VEN Lumen Volume,VEN  Lumen Volume,metavision,chartevents,Dialysis,mL,Numeric,
10140,13328,224409,Pain Level Response,Pain Level Response,metavision,chartevents,Pain/Sedation,,Text,
10141,13329,224410,PCA bolus,PCA bolus,metavision,chartevents,Pain/Sedation,None,Numeric,
10142,13330,224411,Epidural Bolus (mL),Epidural Bolus (mL),metavision,chartevents,Pain/Sedation,mL,Numeric,
10143,13331,224413,TOF Response,TOF Response,metavision,chartevents,Pain/Sedation,,Text,
10144,13332,224414,TOF Twitch,TOF Twitch,metavision,chartevents,Pain/Sedation,,Text,
10145,13333,224415,ETT Mark (cm),ETT Mark (cm),metavision,chartevents,Respiratory,,Text,
10146,13334,224417,Cuff Pressure,Cuff Pressure,metavision,chartevents,Respiratory,cmH2O,Numeric,
10147,13335,224418,Cuff Volume (mL),Cuff Volume (mL),metavision,chartevents,Respiratory,mL,Numeric,
10148,13336,224419,Negative Insp. Force,Negative Insp. Force,metavision,chartevents,Respiratory,cmH2O,Numeric,
10149,13337,224420,Vital Cap,Vital Cap,metavision,chartevents,Respiratory,Liters,Numeric,
10150,13338,224421,Spont Vt,Spont Vt,metavision,chartevents,Respiratory,mL,Numeric,
10151,13339,224422,Spont RR,Spont RR,metavision,chartevents,Respiratory,bpm,Numeric,
10152,13340,224423,CT #2 Crepitus,CT #2 Crepitus,metavision,chartevents,Pulmonary,,Text,
10153,13341,224424,CT #2 Drainage,CT #2 Drainage,metavision,chartevents,Pulmonary,,Text,
10154,13342,224425,CT #2 Dressing,CT #2 Dressing,metavision,chartevents,Pulmonary,,Text,
10155,13343,224426,CT #2 Fluctuate,CT #2 Fluctuate,metavision,chartevents,Pulmonary,,Text,
10156,13344,224427,CT #2 Suction Amount,CT #2 Suction Amount,metavision,chartevents,Pulmonary,,Text,
10157,13345,224428,CT #3 Crepitus,CT #3 Crepitus,metavision,chartevents,Pulmonary,,Text,
10158,13346,224429,CT #4 Crepitus,CT #4 Crepitus,metavision,chartevents,Pulmonary,,Text,
10159,13347,224430,CT #3 Drainage,CT #3 Drainage,metavision,chartevents,Pulmonary,,Text,
10160,13348,224431,CT #4 Drainage,CT #4 Drainage,metavision,chartevents,Pulmonary,,Text,
10161,13349,224432,CT #3 Dressing,CT #3 Dressing,metavision,chartevents,Pulmonary,,Text,
10162,13350,224433,CT #4 Dressing,CT #4 Dressing,metavision,chartevents,Pulmonary,,Text,
10163,13351,224434,CT #3 Fluctuate,CT #3 Fluctuate,metavision,chartevents,Pulmonary,,Text,
10164,13352,224435,CT #4 Fluctuate,CT #4 Fluctuate,metavision,chartevents,Pulmonary,,Text,
10165,13353,224436,CT #3 Suction Amount,CT #3 Suction Amount,metavision,chartevents,Pulmonary,,Text,
10166,13354,224437,CT #4 Suction Amount,CT #4 Suction Amount,metavision,chartevents,Pulmonary,,Text,
10167,13355,224438,Chest Tube Site # 2,Chest Tube Site # 2,metavision,chartevents,Pulmonary,,Text,
10168,13356,224439,Chest Tube Site #3,Chest Tube Site #3,metavision,chartevents,Pulmonary,,Text,
10169,13357,224440,Chest Tube Site #4,Chest Tube Site #4,metavision,chartevents,Pulmonary,,Text,
10170,13358,224441,GI #2 Intub Site,GI #2 Intub Site,metavision,chartevents,GI/GU,,Text,
10171,13359,224442,GI #3 Intub Site,GI #3 Intub Site,metavision,chartevents,GI/GU,,Text,
10172,13360,224443,GI #2 Tube Place Check,GI #2 Tube Place Check,metavision,chartevents,GI/GU,,Text,
10173,13361,224444,GI #3 Tube Place Check,GI #3 Tube Place Check,metavision,chartevents,GI/GU,,Text,
10174,13362,224445,GI #2 Tube Drainage,GI #2 Tube Drainage,metavision,chartevents,GI/GU,,Text,
10175,13363,224446,GI #3 Tube Drainage,GI #3 Tube Drainage,metavision,chartevents,GI/GU,,Text,
10176,13364,224447,Family Meeting,Family Meeting,metavision,chartevents,Restraint/Support Systems,,Checkbox,
10177,13365,224449,Traction/Immobile #2,Traction/Immobile #2,metavision,chartevents,Treatments,,Text,
10178,13366,224450,Traction/Immobile #3,Traction/Immobile #3,metavision,chartevents,Treatments,,Text,
10179,13367,224451,Traction/Immobile #4,Traction/Immobile #4,metavision,chartevents,Treatments,,Text,
10180,13368,224452,Traction/Immobile Location #2,Traction/Immobile Location #2,metavision,chartevents,Treatments,,Text,
10181,13369,224453,Traction/Immobile Location #3,Traction/Immobile Location #3,metavision,chartevents,Treatments,,Text,
10182,13370,224454,Traction/Immobile Location #4,Traction/Immobile Location #4,metavision,chartevents,Treatments,,Text,
10183,13371,224455,PT Splint Location #4,PT Splint Location #4,metavision,chartevents,Treatments,,Text,
10184,13372,224456,PT Splint Location #2,PT Splint Location #2,metavision,chartevents,Treatments,,Text,
10185,13373,224457,PT Splint Location #3,PT Splint Location #3,metavision,chartevents,Treatments,,Text,
10186,13374,224468,Ultrasound (CVL),Ultrasound (CVL),metavision,chartevents,CVL Insertion,,Text,
10187,13375,224469,Medications / anesthetic (PA line),Medications / anesthetic (PA line),metavision,chartevents,PA Line Insertion,,Text,
10188,13376,224472,Indications (PA line),Indications (PA line),metavision,chartevents,PA Line Insertion,,Text,
10189,13377,224476,Insertion site (PA line),Insertion site (PA line),metavision,chartevents,PA Line Insertion,,Text,
10190,13378,224478,Type of catheter (PA line),Type of catheter (PA line),metavision,chartevents,PA Line Insertion,,Text,
10191,13379,224479,Complications (PA line),Complications (PA line),metavision,chartevents,PA Line Insertion,,Text,
10192,13380,224489,Indication (LP),Indication (LP),metavision,chartevents,Lumbar Puncture,,Text,
10193,13381,224490,Site cleansed with ChloraPrep(TM) (LP),Site cleansed with ChloraPrep(TM) (LP),metavision,chartevents,Lumbar Puncture,,Checkbox,
10194,13382,224491,Lidocaine 1% (LP),Lidocaine 1% (LP),metavision,chartevents,Lumbar Puncture,mL SC,Numeric,
10195,13383,224495,Patient position (LP),Patient position (LP),metavision,chartevents,Lumbar Puncture,,Text,
10196,13384,224496,Entry site (LP),Entry site (LP),metavision,chartevents,Lumbar Puncture,,Text,
10197,13385,224498,Amount of fluid removed (LP),Amount of fluid removed (LP),metavision,chartevents,Lumbar Puncture,mL,Numeric,
10198,13386,224499,Fluid removed (LP),Fluid removed (LP),metavision,chartevents,Lumbar Puncture,,Text,
10199,13387,224503,Patient (THCEN),Patient (THCEN),metavision,chartevents,Thoracentesis,,Text,
10200,13388,224504,With ultrasound (THCEN),With ultrasound (THCEN),metavision,chartevents,Thoracentesis,,Text,
10201,13389,224505,Lidocaine 1% (THCEN),Lidocaine 1% (THCEN),metavision,chartevents,Thoracentesis,mL SC,Numeric,
10202,13390,224506,Conscious sedation (THCEN),Conscious sedation (THCEN),metavision,chartevents,Thoracentesis,,Checkbox,
10203,13391,224508,Location (PICC),Location (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10204,13392,224511,Type of catheter (PICC),Type of catheter (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10205,13393,224512,Insertion site (PICC),Insertion site (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10206,13394,224515,Timeout performed by (PICC),Timeout performed by (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10207,13395,224517,Patient identified correctly (PICC),Patient identified correctly (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10208,13396,224560,PA Catheter,PA Catheter,metavision,procedureevents_mv,Access Lines - Invasive,None,Process,
10209,13397,224561,Impaired Skin Type #1,Type #1,metavision,chartevents,Skin - Impairment,,Text,
10210,13398,224562,Impaired Skin Length #1,Site Length #1,metavision,chartevents,Skin - Impairment,cm,Numeric,
10211,13399,224563,Impaired Skin Depth #1,Site Depth #1,metavision,chartevents,Skin - Impairment,cm,Numeric,
10212,13400,224564,Impaired Skin Odor #1,Odor #1,metavision,chartevents,Skin - Impairment,,Checkbox,
10213,13401,224565,Surrounding Tissue #1,Surrounding Tissue #1,metavision,chartevents,Skin - Impairment,,Text,
10214,13402,224566,14 Gauge,14 Gauge,metavision,procedureevents_mv,Access Lines - Peripheral,None,Process,
10215,13403,224568,Barrier precautions in place (PICC),Barrier precautions in place (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10216,13404,224571,Guidewire exchange (PICC),Guidewire exchange (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10217,13405,224577,Side (PICC),Side (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10218,13406,224581,Ultrasound (PICC),Ultrasound (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10219,13407,224582,Verification of (PICC),Verification of (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10220,13408,224584,Number of attempts required to place line (PICC),Number of attempts required to place line (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10221,13409,224596,Acuity (PICC),Acuity (PICC),metavision,chartevents,PICC Line Insertion,,Text,
10222,13410,224604,Thermodilution (PA line),Thermodilution (PA line),metavision,chartevents,PA Line Insertion,,Checkbox,
10223,13411,224605,Fick (PA line),Fick (PA line),metavision,chartevents,PA Line Insertion,,Checkbox,
10224,13412,224617,Timeout performed by (PA line),Timeout performed by (PA line),metavision,chartevents,PA Line Insertion,,Text,
10225,13413,224618,Patient identified correctly (PA line),Patient identified correctly (PA line),metavision,chartevents,PA Line Insertion,,Text,
10226,13414,224619,Verification of (PA line),Verification of (PA line),metavision,chartevents,PA Line Insertion,,Text,
10227,13415,224624,Barrier precautions in place (PA line),Barrier precautions in place (PA line),metavision,chartevents,PA Line Insertion,,Text,
10228,13416,224629,Number of operators (CVL),Number of operators (CVL),metavision,chartevents,CVL Insertion,,Text,
10229,13417,224631,Pressure Ulcer Stage #1,Pressure Ulcer Stage #1,metavision,chartevents,Skin - Impairment,,Text,
10230,13418,224632,Tunneling Present #1,Tunneling Present #1,metavision,chartevents,Skin - Impairment,,Text,
10231,13419,224633,Undermining Present #1,Undermining Present #1,metavision,chartevents,Skin - Impairment,,Text,
10232,13420,224639,Daily Weight,Daily Weight,metavision,chartevents,General,kg,Numeric,
10233,13421,224640,Service,Service,metavision,chartevents,General,,Text,
10234,13422,224641,Alarms On,Alarms On,metavision,chartevents,Alarms,,Checkbox,
10235,13423,224642,Temperature Site,Temp Site,metavision,chartevents,Routine Vital Signs,,Text,
10236,13424,224643,Manual Blood Pressure Diastolic Left,Manual BPd L,metavision,chartevents,Routine Vital Signs,mmHg,Numeric,
10237,13425,224645,Orthostatic BPs lying,Orthostatic BPs lying,metavision,chartevents,Routine Vital Signs,mmHg,Numeric,
10238,13426,224646,Orthostatic BPs sitting,Orthostatic BPs sitting,metavision,chartevents,Routine Vital Signs,mmHg,Numeric,
10239,13427,224647,Orthostatic HR standing,Orthostatic HR standing,metavision,chartevents,Routine Vital Signs,bpm,Numeric,
10240,13428,224650,Ectopy Type 1,Ectopy Type 1,metavision,chartevents,Routine Vital Signs,,Text,
10241,13429,224651,Ectopy Frequency 1,Ectopy Frequency 1,metavision,chartevents,Routine Vital Signs,,Text,
10242,13430,224652,Unassisted Systole,SYS - Unassisted,metavision,chartevents,IABP,mmHg,Numeric,
10243,13431,224654,PAEDP,DIA - Unassisted,metavision,chartevents,IABP,mmHg,Numeric,
10244,13432,224659,Vacuum Assist,Vacuum Assist,metavision,chartevents,Hemodynamics,mmHg,Numeric,
10245,13433,224660,ECMO,ECMO,metavision,chartevents,Hemodynamics,L/min,Numeric,
10246,13434,224661,Baseline Current/mA,Baseline Current/mA,metavision,chartevents,Pain/Sedation,mA,Numeric,
10247,13435,224662,Current Used/mA,Current Used/mA,metavision,chartevents,Pain/Sedation,mA,Numeric,
10248,13436,224663,PCA attempt,PCA attempt,metavision,chartevents,Pain/Sedation,None,Numeric,
10249,13437,224665,PCA total dose,PCA total dose,metavision,chartevents,Pain/Sedation,None,Numeric,
10250,13438,224666,Nasal Congestion,Nasal Congestion,metavision,chartevents,Toxicology,,Text,
10251,13439,224667,Goose Flesh,Goose Flesh,metavision,chartevents,Toxicology,,Text,
